"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203470_s_at","203470_s_at","5341","PLEK","pleckstrin",-0.692308273984535,10.1293451833732,-2.50407009094202,0.0200183921763425,0.996729032005328,-4.27595105939646
"220051_at","220051_at","10942","PRSS21","serine protease 21",-0.653102130147681,4.94992680436439,-2.50366056973194,0.0200363945023596,0.996729032005328,-4.27605595925097
"235215_at","235215_at","2072","ERCC4","ERCC excision repair 4, endonuclease catalytic subunit",0.590955418676871,5.15084087921478,2.46685204857519,0.021717433952687,0.996729032005328,-4.28547134540703
"232028_at","232028_at","339500","ZNF678","zinc finger protein 678",0.818064883879745,7.16505117001359,2.45573092923661,0.0222505539338676,0.996729032005328,-4.28831066165157
"217184_s_at","217184_s_at","4058","LTK","leukocyte receptor tyrosine kinase",-0.55647376950488,6.34649296109014,-2.44019039337832,0.0230158905049244,0.996729032005328,-4.29227383380071
"235030_at","235030_at","91775","NXPE3","neurexophilin and PC-esterase domain family member 3",0.92227105729729,6.6835532387616,2.43446281595103,0.0233040630088509,0.996729032005328,-4.29373313879409
"1563452_at","1563452_at","23080","AVL9","AVL9 cell migration associated",1.01107423031592,5.70603888060354,2.43239491029451,0.0234089246135903,0.996729032005328,-4.29425982903845
"232204_at","232204_at","1879","EBF1","EBF transcription factor 1",-0.696307283728294,4.93832265462904,-2.42628270764779,0.0237214291598501,0.996729032005328,-4.29581601782305
"212096_s_at","212096_s_at","57509","MTUS1","microtubule associated scaffold protein 1",0.7706026181917,6.45423707810226,2.42559832900315,0.0237566594948646,0.996729032005328,-4.29599020931325
"244043_at","244043_at","7029","TFDP2","transcription factor Dp-2",0.807794207610004,6.31415781658914,2.41875165720975,0.0241117870623337,0.996729032005328,-4.29773225526914
"230813_at","230813_at","55214","P3H2","prolyl 3-hydroxylase 2",-0.64746258814317,6.23790291025306,-2.41177395952448,0.0244787592806472,0.996729032005328,-4.29950649592055
"1558896_at","1558896_at","200205","IBA57","iron-sulfur cluster assembly factor IBA57",0.814634615865689,5.48807460555969,2.40011827840303,0.0251032946459173,0.996729032005328,-4.30246759089003
"212094_at","212094_at","23089","PEG10","paternally expressed 10",-0.826125484865758,4.34100564616326,-2.37395626876423,0.0265590646789663,0.996729032005328,-4.3091015343619
"226817_at","226817_at","1824","DSC2","desmocollin 2",-0.94389789999174,7.37571696505312,-2.36880964235707,0.0268544546714102,0.996729032005328,-4.3104044734503
"227385_at","227385_at","403313","PLPP6","phospholipid phosphatase 6",0.570116190899517,6.6388295197379,2.35881899845453,0.0274365251225636,0.996729032005328,-4.3129317059579
"203661_s_at","203661_s_at","7111","TMOD1","tropomodulin 1",-0.628800617685629,5.90102709376038,-2.3570634544216,0.0275399979972445,0.996729032005328,-4.3133755069301
"236128_at","236128_at","7644","ZNF91","zinc finger protein 91",0.659849069473148,4.86952408720537,2.33740526957037,0.0287234421656489,0.996729032005328,-4.31833920674187
"225987_at","225987_at","79689","STEAP4","STEAP4 metalloreductase",-1.10971845405029,7.78224960352867,-2.33225057853128,0.0290414037438946,0.996729032005328,-4.31963894461893
"213831_at","213831_at","3117","HLA-DQA1","major histocompatibility complex, class II, DQ alpha 1",-2.96895701513623,8.27919178529388,-2.32713038394881,0.0293604352191272,0.996729032005328,-4.32092921732808
"243417_at","243417_at","284273","ZADH2","zinc binding alcohol dehydrogenase domain containing 2",0.610219341731122,5.41162277368438,2.31900061046742,0.0298736050223028,0.996729032005328,-4.32297630255441
"216560_x_at","216560_x_at","3537","IGLC1","immunoglobulin lambda constant 1",-0.842209401634786,7.7812064163084,-2.31401431290807,0.0301924098994408,0.996729032005328,-4.32423087806966
"213060_s_at","213060_s_at","1117","CHI3L2","chitinase 3 like 2",0.907916733039934,6.75402193085684,2.30917196975075,0.0305049942842481,0.996729032005328,-4.32544851211304
"224037_at","224037_at","55153","SDAD1","SDA1 domain containing 1",0.6758682121222,4.52743119171854,2.30878874228445,0.0305298587516049,0.996729032005328,-4.32554484618926
"240166_x_at","240166_x_at","158234","TRMT10B","tRNA methyltransferase 10B",0.685858003871628,6.87124172644901,2.30037427898817,0.0310805067628582,0.996729032005328,-4.32765889591333
"209392_at","209392_at","5168","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2",-1.0910084391087,4.79450018750926,-2.29867860661306,0.0311925682051522,0.996729032005328,-4.32808465022342
"237257_at","237257_at","53916","RAB4B","RAB4B, member RAS oncogene family",-0.733529136107619,6.0284226637091,-2.29077851437443,0.0317195527781189,0.996729032005328,-4.33006703525148
"233355_at","233355_at","284739","C20orf204","chromosome 20 open reading frame 204",0.60555710093841,4.49793233787126,2.28195295360134,0.0323178984021713,0.996729032005328,-4.33227929729614
"210770_s_at","210770_s_at","773","CACNA1A","calcium voltage-gated channel subunit alpha1 A",-0.528520614971058,4.73186953681729,-2.26570010642478,0.0334468634790447,0.996729032005328,-4.33634667925719
"203088_at","203088_at","10516","FBLN5","fibulin 5",0.935293965218799,7.15826285508724,2.25597021999705,0.0341398439124456,0.996729032005328,-4.33877743008085
"206914_at","206914_at","56253","CRTAM","cytotoxic and regulatory T cell molecule",0.586452062765718,7.88947663353398,2.2437272291927,0.0350304124829805,0.996729032005328,-4.34183141120709
"225668_at","225668_at","134145","ATPSCKMT","ATP synthase c subunit lysine N-methyltransferase",0.623168685666051,6.15392479432823,2.24243378331525,0.0351257252031104,0.996729032005328,-4.34215375380283
"233917_s_at","233917_s_at","4343","MOV10","Mov10 RISC complex RNA helicase",-0.710883209063981,6.42091884741844,-2.23851380474232,0.0354160291861109,0.996729032005328,-4.34313030179167
"207979_s_at","207979_s_at","926","CD8B","CD8b molecule",0.705760275670194,8.95004917230024,2.2296780290765,0.0360784136738899,0.996729032005328,-4.34532948032869
"1569401_at","1569401_at","160364","CLEC12A","C-type lectin domain family 12 member A",-0.801223869252208,6.46643613509773,-2.22706358220989,0.0362765591116577,0.996729032005328,-4.34597966710301
"217422_s_at","217422_s_at","933","CD22","CD22 molecule",-0.753544634135172,7.31389579054496,-2.22580182796643,0.0363725395076619,0.996729032005328,-4.34629336458476
"200606_at","200606_at","1832","DSP","desmoplakin",-0.797919360221512,4.90956433076135,-2.22398885866039,0.0365108546918441,0.996729032005328,-4.34674400436519
"204567_s_at","204567_s_at","9619","ABCG1","ATP binding cassette subfamily G member 1",0.802998909724488,6.01235476943109,2.21506531542702,0.0371986459491583,0.996729032005328,-4.34896033401406
"204442_x_at","204442_x_at","8425","LTBP4","latent transforming growth factor beta binding protein 4",-0.461484071746243,6.86837595055644,-2.20683852861576,0.0378431417754952,0.996729032005328,-4.35100100933854
"205608_s_at","205608_s_at","284","ANGPT1","angiopoietin 1",0.597616736695624,5.14908514962139,2.20490780720293,0.0379958581819788,0.996729032005328,-4.35147956382228
"201111_at","201111_at","1434","CSE1L","chromosome segregation 1 like",0.575769835938615,6.50919886010614,2.19596345596382,0.0387106626354194,0.996729032005328,-4.35369470230508
"234979_at","234979_at","144233","BCDIN3D","BCDIN3 domain containing RNA methyltransferase",0.608434269119489,5.85002653718975,2.1916345828061,0.0390609735981171,0.996729032005328,-4.35476568735846
"220242_x_at","220242_x_at","55762","ZNF701","zinc finger protein 701",0.59753027146209,5.10910838262892,2.18832759374366,0.0393305228415147,0.996729032005328,-4.35558336749459
"227187_at","227187_at","79872","CBLL1","Cbl proto-oncogene like 1",0.614990136245792,6.98450062971214,2.18792683349243,0.0393633026551942,0.996729032005328,-4.35568243003691
"205049_s_at","205049_s_at","973","CD79A","CD79a molecule",-0.647424573041299,8.69653176509192,-2.18456750785354,0.0396390505308157,0.996729032005328,-4.35651256504422
"1559025_at","1559025_at","10801","SEPTIN9","septin 9",0.88640628729992,7.55247055444434,2.18301765208617,0.0397668582596104,0.996729032005328,-4.35689540736818
"204700_x_at","204700_x_at","27042","UTP25","UTP25 small subunit processor component",0.609256156617893,5.74869482361858,2.17488849533762,0.0404433554508982,0.996729032005328,-4.35890191250081
"225420_at","225420_at","57678","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial",0.656016546702688,5.7948235696952,2.16914619816381,0.0409274800404772,0.996729032005328,-4.36031769710557
"206123_at","206123_at","3996","LLGL1","LLGL scribble cell polarity complex component 1",-0.543981785811662,6.40557528870665,-2.16435185777085,0.0413356920101961,0.996729032005328,-4.36149874900295
"204077_x_at","204077_x_at","9583","ENTPD4","ectonucleoside triphosphate diphosphohydrolase 4",0.54914554019465,6.46222207226476,2.16372757766769,0.0413891160363698,0.996729032005328,-4.36165246790114
"210279_at","210279_at","2841","GPR18","G protein-coupled receptor 18",0.822809728634465,7.94682329718586,2.16178997268165,0.0415553281782288,0.996729032005328,-4.36212947150617
"228561_at","228561_at","55664","CDC37L1","cell division cycle 37 like 1",0.594757336470816,4.66821885159786,2.15992528175702,0.0417158549413798,0.996729032005328,-4.36258838128958
"203803_at","203803_at","51449","PCYOX1","prenylcysteine oxidase 1",0.601327645787177,5.70967261013388,2.15802773068366,0.0418797855475155,0.996729032005328,-4.36305523297372
"232412_at","232412_at","84961","FBXL20","F-box and leucine rich repeat protein 20",0.83096295768138,6.03504025179817,2.15652546890858,0.0420099793577882,0.996729032005328,-4.3634247280666
"209480_at","209480_at","3119","HLA-DQB1","major histocompatibility complex, class II, DQ beta 1",-2.86249351730951,7.68641262827888,-2.15161115863547,0.0424384367709762,0.996729032005328,-4.36463280181567
"230388_s_at","230388_s_at","644246","KANSL1-AS1","KANSL1 antisense RNA 1",-0.812872931306888,7.91577566308465,-2.14510673249343,0.0430115945784295,0.996729032005328,-4.36623023741831
"214711_at","214711_at","283459","GATC","glutamyl-tRNA amidotransferase subunit C",0.705179078930386,6.56682667146628,2.12938533181408,0.0444258727243356,0.996729032005328,-4.37008396862931
"214245_at","214245_at","6208","RPS14","ribosomal protein S14",-0.729451546699757,5.36932548286447,-2.12474231010191,0.0448514929677213,0.996729032005328,-4.371220085759
"219629_at","219629_at","55007","FAM118A","family with sequence similarity 118 member A",1.42063452092786,7.06711990957763,2.12215662974223,0.0450901072597379,0.996729032005328,-4.37185238249593
"238937_at","238937_at","147923","ZNF420","zinc finger protein 420",0.775136529650631,6.19833763364371,2.11778306157702,0.0454963145741293,0.996729032005328,-4.37292122613373
"1559051_s_at","1559051_s_at","115004","CGAS","cyclic GMP-AMP synthase",0.588185832207395,6.2972360597254,2.11306756968755,0.0459379640500398,0.996729032005328,-4.37407269721935
"232338_at","232338_at","170959","ZNF431","zinc finger protein 431",0.613507283463479,6.45062579144606,2.11269788637414,0.0459727507291175,0.996729032005328,-4.3741629286173
"227636_at","227636_at","168451","THAP5","THAP domain containing 5",0.511248649372738,6.70607740596435,2.11231064653974,0.0460092148458571,0.996729032005328,-4.37425743872725
"238326_at","238326_at","440836","ODF3B","outer dense fiber of sperm tails 3B",0.520933268549713,5.7829464217638,2.10770815256485,0.0464445998863435,0.996729032005328,-4.37538022157365
"221664_s_at","221664_s_at","50848","F11R","F11 receptor",0.546006174666807,8.10508688955925,2.107004783616,0.0465114620656043,0.996729032005328,-4.37555172662072
"205883_at","205883_at","7704","ZBTB16","zinc finger and BTB domain containing 16",-0.693600686689363,7.87083421404562,-2.10499989973995,0.0467025209282121,0.996729032005328,-4.37604046438056
"232675_s_at","232675_s_at","54963","UCKL1","uridine-cytidine kinase 1 like 1",-0.570621105370498,6.8734433007991,-2.09913912334305,0.0472650824060365,0.996729032005328,-4.37746813946197
"1567107_s_at","1567107_s_at","7171","TPM4","tropomyosin 4",0.668241385235006,7.09050941333295,2.09227454712943,0.0479317254389263,0.996729032005328,-4.37913837636544
"242020_s_at","242020_s_at","81030","ZBP1","Z-DNA binding protein 1",-0.520068168666821,7.60558354840656,-2.092101258574,0.0479486627113987,0.996729032005328,-4.37918051205144
"215086_at","215086_at","25998","IBTK","inhibitor of Bruton tyrosine kinase",0.580434270612777,3.94096013515352,2.089762174747,0.0481778112633268,0.996729032005328,-4.37974913449316
"241869_at","241869_at","80830","APOL6","apolipoprotein L6",1.05901606411758,5.87809951438189,2.08942624417798,0.0482108012534522,0.996729032005328,-4.37983077749593
"206111_at","206111_at","6036","RNASE2","ribonuclease A family member 2",-0.679107977688343,9.09786509201954,-2.08462576251059,0.0486844492948656,0.996729032005328,-4.38099690094485
"212190_at","212190_at","5270","SERPINE2","serpin family E member 2",0.617625283670119,5.94861760342466,2.08430675801463,0.0487160717315679,0.996729032005328,-4.38107435546858
"230071_at","230071_at","55752","SEPTIN11","septin 11",0.652295611044251,5.29198873610147,2.07878999725769,0.0492658590347168,0.996729032005328,-4.38241308741888
"214395_x_at","214395_x_at","1936","EEF1D","eukaryotic translation elongation factor 1 delta",0.771361103702192,5.95645242246816,2.07848451153201,0.0492964647810277,0.996729032005328,-4.38248717741341
"222104_x_at","222104_x_at","2967","GTF2H3","general transcription factor IIH subunit 3",0.62635763920933,8.22540858599911,2.0703448348564,0.0501182513975998,0.996729032005328,-4.38445970791448
"1556874_a_at","1556874_a_at","51320","MEX3C","mex-3 RNA binding family member C",-0.893889101578254,5.98676198982099,-2.06872132508807,0.0502836208576107,0.996729032005328,-4.38485277078685
"202631_s_at","202631_s_at","10513","APPBP2","amyloid beta precursor protein binding protein 2",0.570110907324393,6.54799315426673,2.06517807751669,0.0506462295360773,0.996729032005328,-4.38571018427501
"232537_x_at","232537_x_at","4140","MARK3","microtubule affinity regulating kinase 3",0.799714922395925,4.24768042290264,2.05425507157062,0.051778825022254,0.996729032005328,-4.38834963897726
"207735_at","207735_at","54941","RNF125","ring finger protein 125",0.836420811672694,8.12866341220441,2.05344306428813,0.051863917899524,0.996729032005328,-4.38854562593369
"239771_at","239771_at","55832","CAND1","cullin associated and neddylation dissociated 1",0.741748883628714,6.00363657293899,2.0520479808203,0.0520104048337482,0.996729032005328,-4.3888822706555
"209573_s_at","209573_s_at","753","LDLRAD4","low density lipoprotein receptor class A domain containing 4",-0.583672793959772,6.09717165772872,-2.05191410698033,0.0520244812988933,0.996729032005328,-4.38891457054256
"229821_at","229821_at","55073","LRRC37A4P","leucine rich repeat containing 37 member A4, pseudogene",0.501267602707099,8.04961929007385,2.04936838751152,0.0522928047657131,0.996729032005328,-4.38952861428972
"1558306_at","1558306_at","63892","THADA","THADA armadillo repeat containing",0.859026293374607,5.87020513346583,2.04878191198867,0.0523547951552781,0.996729032005328,-4.38967003148114
"218066_at","218066_at","10723","SLC12A7","solute carrier family 12 member 7",0.579025957975787,9.2517146540165,2.04715540841398,0.0525270596938793,0.996729032005328,-4.3900621439741
"207474_at","207474_at","54861","SNRK","SNF related kinase",0.712248817795524,7.1553958321283,2.04658674794908,0.052587406289612,0.996729032005328,-4.39019920458383
"225066_at","225066_at","55844","PPP2R2D","protein phosphatase 2 regulatory subunit Bdelta",-0.512839040661132,6.83801637714521,-2.04590690095235,0.0526596332505637,0.996729032005328,-4.39036304313583
"219684_at","219684_at","64108","RTP4","receptor transporter protein 4",0.659334689583335,7.23373130888219,2.04411189028865,0.0528507607495095,0.996729032005328,-4.39079552044587
"201660_at","201660_at","2181","ACSL3","acyl-CoA synthetase long chain family member 3",0.537931902973872,7.69294529918348,2.04187860027894,0.0530894186729835,0.996729032005328,-4.39133337412753
"219717_at","219717_at","54876","DCAF16","DDB1 and CUL4 associated factor 16",0.633932361511752,7.14979114031463,2.04073575784342,0.0532119185622268,0.996729032005328,-4.39160851580269
"211531_x_at","211531_x_at","5542","PRB1","proline rich protein BstNI subfamily 1",-0.571349266359053,7.1342649280482,-2.0386072125609,0.0534407467569979,0.996729032005328,-4.39212079662181
"226015_at","226015_at","7559","ZNF12","zinc finger protein 12",0.508782835973998,8.68584105587414,2.03761982138695,0.0535471932897175,0.996729032005328,-4.39235835818549
"210286_s_at","210286_s_at","9497","SLC4A7","solute carrier family 4 member 7",-0.595540492118174,3.56737663010475,-2.03136681709953,0.0542257020650539,0.996729032005328,-4.3938616826985
"1570259_at","1570259_at","3987","LIMS1","LIM zinc finger domain containing 1",0.664836951182404,3.9657831903911,2.03070223829226,0.0542982633539089,0.996729032005328,-4.3940213443323
"220252_x_at","220252_x_at","80231","TASL","TLR adaptor interacting with endolysosomal SLC15A4",0.686245141805855,7.52008024846012,2.02746677501204,0.0546527604334911,0.996729032005328,-4.39479833332453
"213194_at","213194_at","6091","ROBO1","roundabout guidance receptor 1",0.668244675132102,5.65286737335448,2.01370119018272,0.0561841344500731,0.996729032005328,-4.39809822612822
"223792_at","223792_at","7549","ZNF2","zinc finger protein 2",0.475951014414506,5.52517798401685,2.01137412380531,0.0564467487815479,0.996729032005328,-4.39865512197064
"1559449_a_at","1559449_a_at","9534","ZNF254","zinc finger protein 254",0.613230829244276,6.57643130103497,2.00790629965267,0.0568401238024126,0.996729032005328,-4.39948450096119
"222798_at","222798_at","9317","PTER","phosphotriesterase related",0.511674114456798,8.12929994814293,2.00490665290094,0.0571823527547499,0.996729032005328,-4.40020141014403
"204621_s_at","204621_s_at","4929","NR4A2","nuclear receptor subfamily 4 group A member 2",-1.17509408958192,6.35837000285576,-1.99962186592242,0.0577897453333883,0.996729032005328,-4.4014633315736
"208624_s_at","208624_s_at","1981","EIF4G1","eukaryotic translation initiation factor 4 gamma 1",0.562176181188408,8.34665119342198,1.99725657369033,0.0580634433037525,0.996729032005328,-4.40202765507405
"211808_s_at","211808_s_at","1387","CREBBP","CREB binding protein",-0.444321384924664,5.61776397426054,-1.99629257015231,0.0581753216308578,0.996729032005328,-4.40225756827634
"222446_s_at","222446_s_at","25825","BACE2","beta-secretase 2",-0.615226260682315,5.48066744205496,-1.99503870345602,0.0583211263336412,0.996729032005328,-4.40255654068314
"210283_x_at","210283_x_at","10605","PAIP1","poly(A) binding protein interacting protein 1",0.445987416939388,7.7073884201964,1.99246399494143,0.0586215400933063,0.996729032005328,-4.40317019692155
"1552423_at","1552423_at","2117","ETV3","ETS variant transcription factor 3",-0.513981587683929,6.01840278331741,-1.99095461767174,0.0587982894423096,0.996729032005328,-4.40352978019223
"218894_s_at","218894_s_at","55110","MAGOHB","mago homolog B, exon junction complex subunit",0.451747393070574,5.45380563608514,1.99020002575547,0.0588868297577924,0.996729032005328,-4.40370950383697
"209765_at","209765_at","8728","ADAM19","ADAM metallopeptidase domain 19",-0.526662601102672,8.22486685062814,-1.98847983819725,0.0590891103997042,0.996729032005328,-4.40411909436581
"201473_at","201473_at","3726","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit",-0.676887747990033,10.0073345234128,-1.98832448118069,0.0591074094509687,0.996729032005328,-4.40415607843439
"235061_at","235061_at","152926","PPM1K","protein phosphatase, Mg2+/Mn2+ dependent 1K",0.54703373041786,8.99597019532315,1.98616749001122,0.0593619944365578,0.996729032005328,-4.40466943678408
"210173_at","210173_at","5795","PTPRJ","protein tyrosine phosphatase receptor type J",-0.668345566595248,4.75441755101577,-1.98102936013239,0.0599723528209886,0.996729032005328,-4.40589130403551
"204682_at","204682_at","4053","LTBP2","latent transforming growth factor beta binding protein 2",-0.46439845112453,5.19437113907113,-1.97594358329326,0.0605819562069194,0.996729032005328,-4.40709933423855
"214718_at","214718_at","57798","GATAD1","GATA zinc finger domain containing 1",0.451701482691242,7.83940653822484,1.97583356291984,0.060595204090727,0.996729032005328,-4.40712545217621
"207057_at","207057_at","9194","SLC16A7","solute carrier family 16 member 7",0.6991567499191,8.6245368939468,1.9751410226846,0.0606786537932585,0.996729032005328,-4.40728984063055
"231801_at","231801_at","4773","NFATC2","nuclear factor of activated T cells 2",-0.641028717281681,5.51810023253388,-1.97268471002012,0.0609754547417054,0.996729032005328,-4.40787268800945
"236268_at","236268_at","9117","SEC22C","SEC22 homolog C, vesicle trafficking protein",0.613805809567083,6.69716036272555,1.95364096539875,0.0633204181933418,0.996729032005328,-4.41238036089754
"205668_at","205668_at","4065","LY75","lymphocyte antigen 75",0.4738734920913,9.38207966677586,1.95354270753808,0.0633327207961017,0.996729032005328,-4.41240356699854
"242499_at","242499_at","7307","U2AF1","U2 small nuclear RNA auxiliary factor 1",-0.861372764513052,6.00859670404451,-1.95014153462164,0.0637598741065316,0.996729032005328,-4.41320651077386
"210701_at","210701_at","10428","CFDP1","craniofacial development protein 1",0.826659206624481,6.72088511230682,1.94846456058774,0.0639714187727635,0.996729032005328,-4.41360217162786
"202710_at","202710_at","10282","BET1","Bet1 golgi vesicular membrane trafficking protein",0.580144940606401,7.66166492756203,1.94772554592508,0.0640648392413519,0.996729032005328,-4.41377648306582
"229038_at","229038_at","55280","CWF19L1","CWF19 like cell cycle control factor 1",0.488261029831961,6.24377746594669,1.94656932427408,0.0642112410065883,0.996729032005328,-4.41404913999823
"206765_at","206765_at","3759","KCNJ2","potassium inwardly rectifying channel subfamily J member 2",0.676348017444455,6.26786802130865,1.94371539327553,0.0645738708710175,0.996729032005328,-4.41472182595113
"211307_s_at","211307_s_at","2204","FCAR","Fc fragment of IgA receptor",-1.02085672682918,5.58679754719456,-1.94263797103742,0.064711240106795,0.996729032005328,-4.41497566111263
"209828_s_at","209828_s_at","3603","IL16","interleukin 16",0.489345934030397,8.04761014404875,1.93298078622107,0.0659540479629725,0.996729032005328,-4.41724792198682
"235046_at","235046_at","8821","INPP4B","inositol polyphosphate-4-phosphatase type II B",0.517414647164861,7.54810542984193,1.9298684813863,0.0663590288275071,0.996729032005328,-4.41797909612035
"215923_s_at","215923_s_at","23550","PSD4","pleckstrin and Sec7 domain containing 4",-0.534613207459474,7.66649147007487,-1.9292114053268,0.0664448082459292,0.996729032005328,-4.41813339242433
"212509_s_at","212509_s_at","439921","MXRA7","matrix remodeling associated 7",-0.807465136414487,7.82168811241132,-1.92904624626346,0.0664663846208745,0.996729032005328,-4.41817217162354
"202859_x_at","202859_x_at","3576","CXCL8","C-X-C motif chemokine ligand 8",-1.00839313821,5.88027854951724,-1.92783701394674,0.066624546443074,0.996729032005328,-4.41845605075206
"221223_x_at","221223_x_at","1154","CISH","cytokine inducible SH2 containing protein",0.453658080012103,8.66656247719666,1.92231510943347,0.0673509972479908,0.996729032005328,-4.41975130579363
"1553726_s_at","1553726_s_at","221322","TBC1D32","TBC1 domain family member 32",0.528752360304292,3.85131308611611,1.92224628751257,0.0673600950595586,0.996729032005328,-4.41976743805755
"228551_at","228551_at","160518","DENND5B","DENN domain containing 5B",-0.484469854015928,6.1226567020865,-1.92161147475834,0.0674440641045704,0.996729032005328,-4.41991622902528
"215342_s_at","215342_s_at","9910","RABGAP1L","RAB GTPase activating protein 1 like",0.509692898527589,7.76806486245467,1.91544179459521,0.0682649509219468,0.996729032005328,-4.42136109876199
"222816_s_at","222816_s_at","54877","ZCCHC2","zinc finger CCHC-type containing 2",0.741927326782269,8.75782064380441,1.91186095182555,0.0687453992934586,0.996729032005328,-4.42219867739238
"219872_at","219872_at","51313","GASK1B","golgi associated kinase 1B",-1.11530885406611,6.12266300658628,-1.91150839424395,0.0687928626310585,0.996729032005328,-4.42228110206525
"221496_s_at","221496_s_at","10766","TOB2","transducer of ERBB2, 2",0.563510097131262,7.62847945706072,1.91003272603837,0.0689918376858963,0.996729032005328,-4.42262602061772
"216971_s_at","216971_s_at","5339","PLEC","plectin",-0.578776208555554,7.74987403690782,-1.90919724938981,0.0691047146935694,0.996729032005328,-4.42282124605206
"233461_x_at","233461_x_at","7769","ZNF226","zinc finger protein 226",0.517960949951327,7.66130871281707,1.8972702038883,0.0707338587109788,0.996729032005328,-4.42560374941537
"221383_at","221383_at","10316","NMUR1","neuromedin U receptor 1",-0.494650132653726,4.71343880601079,-1.89522613562072,0.0710164133855129,0.996729032005328,-4.42607977103796
"221943_x_at","221943_x_at","6169","RPL38","ribosomal protein L38",0.663533652225022,9.13274142513742,1.89512744943483,0.0710300798910832,0.996729032005328,-4.42610274672467
"200962_at","200962_at","6160","RPL31","ribosomal protein L31",0.805436621200187,8.96681104114289,1.89414774929084,0.0711658780551046,0.996729032005328,-4.42633080469494
"218815_s_at","218815_s_at","55092","TMEM51","transmembrane protein 51",-0.49459494682786,6.10864932893093,-1.8920337105062,0.0714596833859266,0.996729032005328,-4.4268227224226
