"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"36553_at","36553_at","8623","ASMTL","acetylserotonin O-methyltransferase like",0.844257937549798,8.51657695030506,4.39885960482276,0.000218792965559004,0.0293364330117181,0.696992270731075
"230543_at","230543_at","8239","USP9X","ubiquitin specific peptidase 9 X-linked",1.21003677763936,6.12807692300373,4.36924623713361,0.00023537061332108,0.0293364330117181,0.629925141516058
"214007_s_at","214007_s_at","5756","TWF1","twinfilin actin binding protein 1",1.2751043865365,6.01698768955636,4.36442922678184,0.000238183545355583,0.0293364330117181,0.619015925165054
"231747_at","231747_at","10800","CYSLTR1","cysteinyl leukotriene receptor 1",0.950009316972046,8.77354145040597,4.35719979599119,0.000242468431349112,0.0293364330117181,0.602643393901839
"239077_at","239077_at","55454","CSGALNACT2","chondroitin sulfate N-acetylgalactosaminyltransferase 2",1.10165757136651,6.93482578696907,4.35391157085063,0.000244442777621537,0.0293364330117181,0.595196608221391
"1555677_s_at","1555677_s_at","8243","SMC1A","structural maintenance of chromosomes 1A",0.88043739542151,4.71682130587035,4.35372180533034,0.000244557207620566,0.0293364330117181,0.594766851188455
"215848_at","215848_at","49855","SCAPER","S-phase cyclin A associated protein in the ER",-0.917948531880098,6.13150741940977,-4.33775627858768,0.00025437879650148,0.0293364330117181,0.558610880531224
"213446_s_at","213446_s_at","8826","IQGAP1","IQ motif containing GTPase activating protein 1",1.21163448206148,10.0594996535009,4.33303277228575,0.000257359444439036,0.0293364330117181,0.547914226312598
"220416_at","220416_at","79895","ATP8B4","ATPase phospholipid transporting 8B4 (putative)",1.30121703774123,5.46291179014512,4.3276561019029,0.000260794748807409,0.0293364330117181,0.535738658975176
"225145_at","225145_at","57727","NCOA5","nuclear receptor coactivator 5",-0.80924014023202,7.68161249316223,-4.32589106787273,0.000261932437604626,0.0293364330117181,0.531741760819368
"219168_s_at","219168_s_at","55615","PRR5","proline rich 5",-0.802420606682392,6.98938463698948,-4.3100410104242,0.00027237368898788,0.0298426824456286,0.495850828301505
"1558775_s_at","1558775_s_at","8439","NSMAF","neutral sphingomyelinase activation associated factor",1.0986257254604,6.27144267902744,4.30018403080112,0.000279075608136712,0.02992640563849,0.473532014653957
"224974_at","224974_at","64426","SUDS3","SDS3 homolog, SIN3A corepressor complex component",-0.795545694820039,7.11800124092777,-4.27462508615156,0.000297230588089851,0.0312092117494344,0.415665776508778
"213222_at","213222_at","23236","PLCB1","phospholipase C beta 1",0.934873650037268,7.6677117451475,4.2142730309659,0.000344914569664318,0.0330792093607545,0.279073015195817
"220034_at","220034_at","11213","IRAK3","interleukin 1 receptor associated kinase 3",0.932002010932711,7.67414715234121,4.21211255550392,0.000346756215438566,0.0330792093607545,0.274184774855647
"222387_s_at","222387_s_at","55737","VPS35","VPS35 retromer complex component",1.47149413453703,8.52417735885562,4.21121807865945,0.000347521557366895,0.0330792093607545,0.272160987258173
"1554876_a_at","1554876_a_at","170591","S100Z","S100 calcium binding protein Z",1.06294527033744,6.5453210720544,4.20253528509233,0.000355038889112402,0.0330792093607545,0.252516910815152
"238326_at","238326_at","440836","ODF3B","outer dense fiber of sperm tails 3B",0.899154990806921,5.7829464217638,4.20080293827489,0.000356557992385162,0.0330792093607545,0.248597862134453
"215300_s_at","215300_s_at","2330","FMO5","flavin containing dimethylaniline monoxygenase 5",0.860248026324767,5.54555813131498,4.19996180230746,0.000357297923227415,0.0330792093607545,0.246695008533478
"212460_at","212460_at","171546","SPTSSA","serine palmitoyltransferase small subunit A",0.885416080989454,7.9780405566536,4.19579789023831,0.000360983435484425,0.0330792093607545,0.237275513091825
"206697_s_at","206697_s_at","3240","HP","haptoglobin",1.26069883498515,6.21150816691804,4.18732622372818,0.000368599133830008,0.0331739220447007,0.218112619144725
"220032_at","220032_at","79974","CPED1","cadherin like and PC-esterase domain containing 1",0.892755682979635,5.60858799623763,4.16981464210254,0.000384852555995896,0.0340290681091108,0.178508146831136
"229584_at","229584_at","120892","LRRK2","leucine rich repeat kinase 2",1.02002772947423,9.21298209010194,4.14281286414511,0.000411323985151374,0.0356905497441486,0.11745978803661
"232172_at","232172_at","401577","CD99P1","CD99 molecule pseudogene 1",0.752956957073837,5.99181058535086,4.1292894117797,0.000425255378200229,0.0356905497441486,0.0868942051882673
"210042_s_at","210042_s_at","1522","CTSZ","cathepsin Z",1.19967548786486,8.90480325842403,4.12504135616861,0.000429727759075764,0.0356905497441486,0.0772941999219094
"227677_at","227677_at","3718","JAK3","Janus kinase 3",-0.873127789550498,10.0432507106003,-4.12292909321363,0.00043196895523672,0.0356905497441486,0.0725210422225757
"219355_at","219355_at","55086","RADX","RPA1 related single stranded DNA binding protein, X-linked",-0.859143015498814,6.73945022154982,-4.10996481877981,0.000445981578083077,0.0361063814761724,0.0432290506497726
"209282_at","209282_at","25865","PRKD2","protein kinase D2",-0.859685273953334,8.84933434444878,-4.10406155561673,0.000452511155686371,0.0361063814761724,0.0298932422101066
"221223_x_at","221223_x_at","1154","CISH","cytokine inducible SH2 containing protein",-0.837498595602705,8.66656247719666,-4.09778704259482,0.000459555641634697,0.0361063814761724,0.0157203576720857
"224310_s_at","224310_s_at","64919","BCL11B","BAF chromatin remodeling complex subunit BCL11B",-1.05139205376229,5.50731182961404,-4.09242878857451,0.000465657697609367,0.0361063814761724,0.00361845392903959
"201058_s_at","201058_s_at","10398","MYL9","myosin light chain 9",-1.60958359370945,8.21387187125035,-4.08180216273953,0.000477998795975596,0.0365017262381364,-0.020378617359265
"218854_at","218854_at","29940","DSE","dermatan sulfate epimerase",1.15016921424086,8.2067846610245,4.07298965952795,0.000488479326247488,0.0367453105117514,-0.0402751555789438
"222934_s_at","222934_s_at","26253","CLEC4E","C-type lectin domain family 4 member E",1.30934005745384,9.35618658927212,4.03745747429733,0.000533104661621168,0.0390530449231518,-0.120460401733638
"200841_s_at","200841_s_at","2058","EPRS1","glutamyl-prolyl-tRNA synthetase 1",1.06118580867572,7.52616273284712,4.03627699458699,0.000534654781686007,0.0390530449231518,-0.123123284334461
"218631_at","218631_at","60370","AVPI1","arginine vasopressin induced 1",0.748557249282644,5.89142267839117,4.02403978405965,0.000550989873316625,0.039671270878797,-0.150723153213981
"238446_at","238446_at","4671","NAIP","NLR family apoptosis inhibitory protein",1.12786730935103,7.71909933352261,4.01027627169427,0.000569955083191495,0.0404587833702131,-0.181755639128146
"205839_s_at","205839_s_at","9256","TSPOAP1","TSPO associated protein 1",-0.855765592247005,7.00119378109227,-3.9973649320105,0.000588334516992631,0.0406620596721875,-0.210856924226614
"219885_at","219885_at","55106","SLFN12","schlafen family member 12",0.824189363566949,6.75406047107578,3.99693645670907,0.000588954435728112,0.0406620596721875,-0.211822511363644
"227173_s_at","227173_s_at","60468","BACH2","BTB domain and CNC homolog 2",-0.857130210863035,8.09428838654965,-3.97716119795672,0.000618281600777802,0.0411741957931867,-0.256374834732612
"1555613_a_at","1555613_a_at","7535","ZAP70","zeta chain of T cell receptor associated protein kinase 70",-0.770659032944183,10.0382448008595,-3.9769721496923,0.000618568841237995,0.0411741957931867,-0.256800631673676
"212911_at","212911_at","23341","DNAJC16","DnaJ heat shock protein family (Hsp40) member C16",-0.753051732422114,6.56894659443349,-3.97333843379782,0.00062411571132847,0.0411741957931867,-0.264984481615995
"212697_at","212697_at","162427","RETREG3","reticulophagy regulator family member 3",-0.736154840110496,10.0054135694596,-3.96558112823763,0.000636122839311006,0.0411741957931867,-0.282452670057927
"1556067_a_at","1556067_a_at","23135","KDM6B","lysine demethylase 6B",-1.31646414814621,7.96067190969428,-3.9648797467766,0.000637219696799319,0.0411741957931867,-0.284031876525233
"226026_at","226026_at","84925","SLC49A4","solute carrier family 49 member 4",0.920578887140622,7.11474085626364,3.95710370128826,0.000649506646342515,0.0414368797160288,-0.30153800894144
"213746_s_at","213746_s_at","2316","FLNA","filamin A",-0.72283325172177,10.9419247870242,-3.93038424363952,0.000693543341722635,0.0431312122831262,-0.361660332310882
"203782_s_at","203782_s_at","5442","POLRMT","RNA polymerase mitochondrial",-0.783790958945921,8.06326036112969,-3.92268447698444,0.000706773780198573,0.0431312122831262,-0.378976616289147
"213122_at","213122_at","85453","TSPYL5","TSPY like 5",-0.940116572705869,6.36129316290318,-3.9210939624392,0.000709537744845733,0.0431312122831262,-0.382553053019497
"204004_at","204004_at","5074","PAWR","pro-apoptotic WT1 regulator",-0.848636555896237,6.37633359545597,-3.9206588385646,0.000710295757837198,0.0431312122831262,-0.383531442325549
"226489_at","226489_at","57458","TMCC3","transmembrane and coiled-coil domain family 3",0.845181291135059,6.66130127213065,3.90559937237125,0.000737030343073884,0.044221820584433,-0.41738457551986
"212736_at","212736_at","89927","BMERB1","bMERB domain containing 1",-0.707597830242833,6.3997898139909,-3.89500632600663,0.000756430385870568,0.0443917567222341,-0.44118721117635
"233487_s_at","233487_s_at","56262","LRRC8A","leucine rich repeat containing 8 VRAC subunit A",-0.6731895926112,6.72029066816153,-3.88848126786653,0.000768631031499711,0.0443917567222341,-0.45584477724356
"202455_at","202455_at","10014","HDAC5","histone deacetylase 5",-0.696512215454645,7.9898497602663,-3.8859534531814,0.000773409740617675,0.0443917567222341,-0.461522244940826
"207920_x_at","207920_x_at","7543","ZFX","zinc finger protein X-linked",0.921148722970972,5.44709874731796,3.8850661188339,0.000775094164991389,0.0443917567222341,-0.463515077771257
"212602_at","212602_at","23001","WDFY3","WD repeat and FYVE domain containing 3",0.990676747884445,6.70372049871258,3.87238595463804,0.00079956523589389,0.0450986586467313,-0.491986190347117
"228372_at","228372_at","170371","TMEM273","transmembrane protein 273",1.18717546504681,7.34473701308781,3.86369787858886,0.000816771807071785,0.0450986586467313,-0.511486278101396
"225758_s_at","225758_s_at","85378","TUBGCP6","tubulin gamma complex associated protein 6",-0.793395929310758,7.77255150899201,-3.86244836781166,0.000819276379507228,0.0450986586467313,-0.514290253209151
"239144_at","239144_at","135152","B3GAT2","beta-1,3-glucuronyltransferase 2",0.863926268239398,4.78937469047809,3.85481046670106,0.000834752075440059,0.0450986586467313,-0.531427331612325
"233974_s_at","233974_s_at","64855","NIBAN2","niban apoptosis regulator 2",0.693890551361129,6.33898634674954,3.85384557682154,0.000836727560720317,0.0450986586467313,-0.533591897903376
"235136_at","235136_at","94103","ORMDL3","ORMDL sphingolipid biosynthesis regulator 3",-0.788592211130328,6.90760858470191,-3.84792101580799,0.000848959054908103,0.0450986586467313,-0.546880918539824
"214925_s_at","214925_s_at","6709","SPTAN1","spectrin alpha, non-erythrocytic 1",-0.918391707588039,6.97477851322644,-3.84738521140561,0.000850073922904657,0.0450986586467313,-0.548082601655077
"58780_s_at","58780_s_at","55701","ARHGEF40","Rho guanine nucleotide exchange factor 40",1.0211086442416,7.93125985374967,3.82301515106683,0.000902340919667889,0.0463988126613094,-0.602712568778031
"219892_at","219892_at","53346","TM6SF1","transmembrane 6 superfamily member 1",1.23718594798941,7.55676116211592,3.82288127937101,0.00090263663275456,0.0463988126613094,-0.603012521920363
"235461_at","235461_at","54790","TET2","tet methylcytosine dioxygenase 2",1.32823715932,7.17501303656996,3.82110098044186,0.000906578302372001,0.0463988126613094,-0.607001309419438
"207224_s_at","207224_s_at","27036","SIGLEC7","sialic acid binding Ig like lectin 7",0.973050826828169,8.31859979503555,3.81339561202944,0.000923835366097104,0.0463988126613094,-0.62426199970669
"210895_s_at","210895_s_at","942","CD86","CD86 molecule",1.19766021714729,9.33416010268152,3.81211060180486,0.000926744697863203,0.0463988126613094,-0.627140006876081
"223380_s_at","223380_s_at","26524","LATS2","large tumor suppressor kinase 2",0.761088208361883,8.60982778576912,3.80889231958145,0.000934070835359062,0.0463988126613094,-0.634347251749241
"215068_s_at","215068_s_at","80028","FBXL18","F-box and leucine rich repeat protein 18",-0.654361915722794,5.42801891065489,-3.80673072917606,0.000939023589574119,0.0463988126613094,-0.639187530652962
"214300_s_at","214300_s_at","7156","TOP3A","DNA topoisomerase III alpha",0.871723820932472,4.71313180750215,3.80166912176115,0.000950722720402571,0.0465208010760093,-0.650519889241068
"231152_at","231152_at","54891","INO80D","INO80 complex subunit D",1.36821107090204,5.81835282239008,3.79498386450333,0.000966395516704863,0.0465946761812039,-0.665483729083369
"218037_at","218037_at","79137","RETREG2","reticulophagy regulator family member 2",-0.665602239562887,8.42250669010071,-3.79315706944433,0.000970722420441747,0.0465946761812039,-0.669571970796482
"225959_s_at","225959_s_at","84937","ZNRF1","zinc and ring finger 1",0.836163344606618,6.1146221276847,3.78139863401796,0.000999034513726863,0.0470613300514953,-0.695878878023873
"217878_s_at","217878_s_at","996","CDC27","cell division cycle 27",1.07978368315492,7.91350050441488,3.78136383259339,0.000999119507045634,0.0470613300514953,-0.69595671867802
"201631_s_at","201631_s_at","8870","IER3","immediate early response 3",1.03882805153286,8.5743930510367,3.77743649839848,0.00100875697291194,0.0470753254025571,-0.704740261136275
"225384_at","225384_at","85440","DOCK7","dedicator of cytokinesis 7",0.983942092546008,5.7650111693301,3.76885590986412,0.00103013359004398,0.0472540598190222,-0.723925588776202
"223454_at","223454_at","58191","CXCL16","C-X-C motif chemokine ligand 16",0.931941279635037,7.9964715485579,3.76770463608497,0.00103303552991345,0.0472540598190222,-0.726499163537665
"227335_at","227335_at","11083","DIDO1","death inducer-obliterator 1",-0.811466737542873,6.39869839730153,-3.76276244382418,0.00104558488493743,0.0472540598190222,-0.737545503834093
"208629_s_at","208629_s_at","3030","HADHA","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha",0.936428621142014,10.1105436683449,3.75662244892704,0.00106138537578266,0.0472540598190222,-0.75126562419526
"206574_s_at","206574_s_at","11156","PTP4A3","protein tyrosine phosphatase 4A3",-0.714446484273713,7.06474359418058,-3.75528843200817,0.00106484931587032,0.0472540598190222,-0.7542460426187
"227038_at","227038_at","166929","SGMS2","sphingomyelin synthase 2",1.69781557945441,6.66761579655492,3.75375615256749,0.00106884182923979,0.0472540598190222,-0.757669187899854
"40020_at","40020_at","1951","CELSR3","cadherin EGF LAG seven-pass G-type receptor 3",-0.899025543816409,6.29821346668718,-3.7496232954252,0.00107968417517733,0.0473183325469021,-0.766900875141928
"212193_s_at","212193_s_at","23367","LARP1","La ribonucleoprotein 1, translational regulator",-0.691746656841206,8.71809571381138,-3.74054010543614,0.00110389603500633,0.0478721239335681,-0.787184036997743
"219714_s_at","219714_s_at","55799","CACNA2D3","calcium voltage-gated channel auxiliary subunit alpha2delta 3",1.0896067262502,8.07508361432485,3.73779533655999,0.00111131716274355,0.0478721239335681,-0.793311524275646
"224784_at","224784_at","4302","MLLT6","MLLT6, PHD finger containing",-0.791829916105318,10.261548852073,-3.72978531466481,0.00113325646265608,0.048403496371073,-0.811188716527102
"206295_at","206295_at","3606","IL18","interleukin 18",0.841122459329241,5.32928843670526,3.7180290600419,0.00116623171398834,0.0487908097341505,-0.837414452097677
"1554821_a_at","1554821_a_at","9189","ZBED1","zinc finger BED-type containing 1",0.903091564986874,5.72226196796915,3.71760068147787,0.00116745096399554,0.0487908097341505,-0.838369790614039
"205844_at","205844_at","8876","VNN1","vanin 1",1.42588086553033,6.97298835713566,3.71444157613823,0.00117648126470956,0.0487908097341505,-0.845414373608986
"201635_s_at","201635_s_at","8087","FXR1","FMR1 autosomal homolog 1",1.0926787400778,8.73549402816909,3.7128532768048,0.00118104737848539,0.0487908097341505,-0.848955754133878
"216915_s_at","216915_s_at","5782","PTPN12","protein tyrosine phosphatase non-receptor type 12",1.16924632266559,7.0085401395415,3.70573384507441,0.00120173006748984,0.0492416222776325,-0.864826285469032
"1559883_s_at","1559883_s_at","25939","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1",1.11331301840474,9.15347016921538,3.6970169820657,0.00122753972267707,0.049711684898841,-0.884250050682041
"229510_at","229510_at","84689","MS4A14","membrane spanning 4-domains A14",0.930372090163608,8.15212115471966,3.69521972164658,0.0012329286929276,0.049711684898841,-0.888253811989804
"207306_at","207306_at","6939","TCF15","transcription factor 15",0.802443108120708,5.74980900562482,3.68981155930643,0.00124928561749801,0.0499714246999203,-0.900299361691598
"220235_s_at","220235_s_at","55791","LRIF1","ligand dependent nuclear receptor interacting factor 1",-0.885337916125335,7.31355890105948,-3.68222669932734,0.00127258639169924,0.0505026410564109,-0.917187371606609
"228984_at","228984_at","57571","CARNS1","carnosine synthase 1",-0.80766013915441,7.620315767435,-3.67851728532411,0.00128413698798325,0.0505628939018404,-0.925444101167738
"243463_s_at","243463_s_at","6016","RIT1","Ras like without CAAX 1",0.87728341966069,7.85924358449403,3.66618036461811,0.00132329954769522,0.0517010055843712,-0.952893001640895
"221640_s_at","221640_s_at","55367","PIDD1","p53-induced death domain protein 1",-0.838812663341109,6.99631160223456,-3.65605441597273,0.00135631961937099,0.0520220599174641,-0.975409020151864
"215415_s_at","215415_s_at","1130","LYST","lysosomal trafficking regulator",1.14919043566766,7.38551397791842,3.65479565284815,0.0013604805830512,0.0520220599174641,-0.978207132442692
"226878_at","226878_at","3111","HLA-DOA","major histocompatibility complex, class II, DO alpha",-0.720943344757076,8.04670779071717,-3.65419138042479,0.00136248252164787,0.0520220599174641,-0.97955030466819
"228476_at","228476_at","57577","CCDC191","coiled-coil domain containing 191",-0.768619710430878,6.62360650039777,-3.63609228518823,0.00142380561359258,0.0539547390414032,-1.01975996725946
"219298_at","219298_at","79746","ECHDC3","enoyl-CoA hydratase domain containing 3",0.840694505704496,5.99434676018157,3.63234216955367,0.00143684697210267,0.0540426025328168,-1.02808625848618
"209906_at","209906_at","719","C3AR1","complement C3a receptor 1",0.98775906969786,8.83978904345,3.62352555164811,0.00146797175242739,0.0548042787572893,-1.04765455411489
"236557_at","236557_at","253461","ZBTB38","zinc finger and BTB domain containing 38",0.890590345140729,6.41723721372725,3.61929615912734,0.00148313672184275,0.0549633020447609,-1.05703806938057
"228258_at","228258_at","374403","TBC1D10C","TBC1 domain family member 10C",-0.673903930860611,10.7139982694123,-3.61255027481344,0.00150764394834865,0.0554636897786656,-1.07199999543711
"206470_at","206470_at","10154","PLXNC1","plexin C1",1.27646805397514,8.02399216214686,3.60750642449266,0.00152622730075513,0.0557404753319263,-1.08318304456964
"1552554_a_at","1552554_a_at","58484","NLRC4","NLR family CARD domain containing 4",1.66854010863688,5.51769386050473,3.60094041743949,0.00155075618517646,0.0562288573617939,-1.09773594784358
"200913_at","200913_at","5496","PPM1G","protein phosphatase, Mg2+/Mn2+ dependent 1G",-0.601795979846457,8.52213933264265,-3.59415708635996,0.00157650340051906,0.0563713822041107,-1.11276450983862
"223501_at","223501_at","10673","TNFSF13B","TNF superfamily member 13b",1.16126807332774,10.5001497499832,3.5916501410215,0.0015861247369723,0.0563713822041107,-1.11831712067617
"210176_at","210176_at","7096","TLR1","toll like receptor 1",0.996640818790311,8.35046639779282,3.58742189151186,0.00160248296915905,0.0563713822041107,-1.12768031139347
"227954_at","227954_at","162073","ITPRIPL2","ITPRIP like 2",0.689123832199878,5.92731259606033,3.58552791899203,0.00160986395260444,0.0563713822041107,-1.13187360782847
"204493_at","204493_at","637","BID","BH3 interacting domain death agonist",0.883240598559885,8.98436243760946,3.58089613362954,0.00162805529984915,0.0563713822041107,-1.14212642216792
"229442_at","229442_at","162681","C18orf54","chromosome 18 open reading frame 54",-0.760563819066852,5.69521468342354,-3.58049864742629,0.00162962579344062,0.0563713822041107,-1.14300615187373
"1552321_a_at","1552321_a_at","85478","CCDC65","coiled-coil domain containing 65",-0.794209229504829,5.86642163754997,-3.5796508368733,0.00163298051623019,0.0563713822041107,-1.14488248203241
"201329_s_at","201329_s_at","2114","ETS2","ETS proto-oncogene 2, transcription factor",0.915873324708696,7.64075507098906,3.56861746988195,0.00167726150961644,0.0572023732483373,-1.16929191031645
"211413_s_at","211413_s_at","23569","PADI4","peptidyl arginine deiminase 4",1.30239503153167,6.80291143318352,3.56800538335954,0.00167975223030832,0.0572023732483373,-1.17064555165872
"224480_s_at","224480_s_at","84803","GPAT3","glycerol-3-phosphate acyltransferase 3",0.808471443990937,8.06264061662863,3.56454617203029,0.00169389689531824,0.0572969151168051,-1.17829468014391
"1553148_a_at","1553148_a_at","23161","SNX13","sorting nexin 13",0.924732157281749,6.11021001297603,3.55331996501679,0.00174061012927711,0.058484500343711,-1.20310683972038
"225933_at","225933_at","339230","CCDC137","coiled-coil domain containing 137",-0.831932411117249,7.2012052078851,-3.5497773131487,0.00175561191209809,0.0585979075296316,-1.21093308690028
"220004_at","220004_at","55510","DDX43","DEAD-box helicase 43",-0.917790655749731,5.11583554164418,-3.5390609291744,0.00180176749638772,0.0596293480928579,-1.23459617664463
"204805_s_at","204805_s_at","8971","H1-10","H1.10 linker histone",-0.698714472984278,10.3865680192861,-3.53713751213415,0.00181017663853319,0.0596293480928579,-1.23884155287333
"226783_at","226783_at","85007","PHYKPL","5-phosphohydroxy-L-lysine phospho-lyase",-0.878204170786907,8.52085535359461,-3.529637104975,0.00184333721886466,0.060129886250872,-1.25539131126189
"201715_s_at","201715_s_at","22985","ACIN1","apoptotic chromatin condensation inducer 1",-0.639373742459457,8.19030897060591,-3.52831751286279,0.00184923261287404,0.060129886250872,-1.25830215327952
"213194_at","213194_at","6091","ROBO1","roundabout guidance receptor 1",-1.01100499620252,5.65286737335448,-3.51788947003027,0.00189647506958683,0.0608743437552677,-1.28129590057706
"218141_at","218141_at","63893","UBE2O","ubiquitin conjugating enzyme E2 O",-0.708548676605213,7.5346315783043,-3.51385041823149,0.00191508915399918,0.0608743437552677,-1.29019759940142
